2026-03-10 14:07:11 - {'id': 144, 'session_id': '17.248.213.65:443_192.168.137.187:54515', 'timestamp': '2026-03-10T12:00:50.149048400Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '17.248.213.65', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '54515', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0052', 'win_size': '31856'}
2026-03-10 14:07:11 - {'id': 96, 'session_id': '192.168.137.187:54507_23.221.28.28:443', 'timestamp': '2026-03-10T12:00:00.775196700Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '192.168.137.187', 'dst_ip': '23.221.28.28', 'src_port': '54507', 'dst_port': '443', 'seq_num': 1, 'ack_num': 26, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '2048'}
2026-03-10 14:07:11 - {'id': 81, 'session_id': '192.168.137.187:54510_17.253.57.195:443', 'timestamp': '2026-03-10T11:59:57.438870600Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '192.168.137.187', 'dst_ip': '17.253.57.195', 'src_port': '54510', 'dst_port': '443', 'seq_num': 1, 'ack_num': 26, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '2048'}
2026-03-10 14:07:11 - {'id': 18, 'session_id': '192.168.137.187:54514_57.144.245.32:443', 'timestamp': '2026-03-10T11:59:18.605107800Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.245.32', 'src_port': '54514', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:11 - {'id': 143, 'session_id': '192.168.137.187:54515_17.248.213.65:443', 'timestamp': '2026-03-10T12:00:50.086686100Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '17.248.213.65', 'src_port': '54515', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:11 - {'id': 19, 'session_id': '57.144.245.32:443_192.168.137.187:54514', 'timestamp': '2026-03-10T11:59:18.659903300Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '57.144.245.32', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '54514', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0012', 'win_size': '65535'}
2026-03-10 14:07:11 - {'id': 29, 'session_id': '57.144.245.33:443_192.168.137.187:53966', 'timestamp': '2026-03-10T11:58:40.394306200Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '57.144.245.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '53966', 'seq_num': 1, 'ack_num': 2, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '278'}
2026-03-10 14:07:12 - {'id': 36, 'session_id': '57.144.245.33:443_192.168.137.187:53966', 'timestamp': '2026-03-10T12:02:43.708945400Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '57.144.245.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '53966', 'seq_num': 120, 'ack_num': 97, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '286'}
2026-03-10 14:07:12 - {'id': 54, 'session_id': '57.144.245.33:443_192.168.137.187:53966', 'timestamp': '2026-03-10T12:02:50.846559900Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '57.144.245.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '53966', 'seq_num': 428, 'ack_num': 1189, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '297'}
2026-03-10 14:07:12 - {'id': 58, 'session_id': '57.144.245.33:443_192.168.137.187:53966', 'timestamp': '2026-03-10T12:03:01.139149900Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '57.144.245.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '53966', 'seq_num': 428, 'ack_num': 1189, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '297'}
2026-03-10 14:07:12 - {'id': 127, 'session_id': '192.168.137.187:54524_57.144.245.32:443', 'timestamp': '2026-03-10T12:03:19.492145700Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.245.32', 'src_port': '54524', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
